FID;OBJECTID;AmbulanceR;BikeAge_Gr;Bike_Age;Bike_Alc_D;Bike_Dir;Bike_Injur;Bike_Pos;Bike_Race;Bike_Sex;City;County;CrashAlcoh;CrashDay;Crash_Date;Crash_Grp;Crash_Hour;Crash_Loc;Crash_Mont;Crash_Time;Crash_Type;Crash_Ty_1;Crash_Year;Crsh_Sevri;Developmen;DrvrAge_Gr;Drvr_Age;Drvr_Alc_D;Drvr_EstSp;Drvr_Injur;Drvr_Race;Drvr_Sex;Drvr_VehTy;ExcsSpdInd;Hit_Run;Light_Cond;Locality;Num_Lanes;Num_Units;Rd_Charact;Rd_Class;Rd_Conditi;Rd_Config;Rd_Defects;Rd_Feature;Rd_Surface;Region;Rural_Urba;Speed_Limi;Traff_Cntr;Weather;Workzone_I;Location
18;19;No;NA;6;No;Not Applicable;C: Possible Injury;Driveway / Alley;Black;Female;Durham;Durham;No;01/01/2006;06/01/2007;Bicyclist Failed to Yield - Midblock;13;Non-Intersection;NA;01/01/2001 13:17;Bicyclist Ride Out - Residential Driveway;353311;2007;C: Possible Injury;Residential;60-69;66;No;11-15 mph;O: No Injury;Black;Male;Pickup;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;No Control Present;Clear;No;36.002743, -78.8785
29;30;Yes;50-59;51;No;With Traffic;C: Possible Injury;Travel Lane;Black;Male;Greenville;Pitt;No;01/01/2002;09/01/2007;Crossing Paths - Other Circumstances;23;Intersection-Related;NA;01/01/2001 23:08;Crossing Paths - Intersection - Other /;211180;2007;C: Possible Injury;Commercial;30-39;34;No;0-5 mph;O: No Injury;Black;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);5 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Coastal;Urban;40 - 45  MPH;Stop And Go Signal;Clear;No;35.612984, -77.39265
33;34;No;NA;10;No;With Traffic;Injury;Travel Lane;Black;Male;Farmville;Pitt;No;01/01/2007;14/01/2007;Bicyclist Failed to Yield - Sign-Controlled Intersection;16;Intersection;NA;01/01/2001 16:44;Bicyclist Ride Through - Sign-Controlled Intersection;111144;2007;O: No Injury;Residential;50-59;52;No;21-25 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Coastal;Rural;30 - 35  MPH;Stop Sign;Clear;No;35.595676, -77.59074
35;36;Yes;16-19;17;No;NA;B: Evident Injury;Travel Lane;White;Male;Charlotte;Mecklenburg;No;01/01/2005;12/01/2007;Loss of Control / Turning Error;19;Intersection;NA;01/01/2001 19:55;Motorist Lost Control - Other /;119139;2007;B: Evident Injury;Residential;30-39;33;No;46-50 mph;O: No Injury;White;Female;Sport Utility;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);4 lanes;3;Straight - Level;NC Route;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;Stop And Go Signal;Cloudy;No;35.076767, -80.7728
49;50;No;NA;6;No;Facing Traffic;O: No Injury;Travel Lane;Black;Male;Charlotte;Mecklenburg;No;NA;15/01/2007;Loss of Control / Turning Error;12;Intersection;NA;01/01/2001 12:56;Bicyclist Turning Error - Left Turn;112114;2007;O: No Injury;Residential;NA;NA;Missing;16-20 mph;Injury;/Missing;NA;NA;No;Yes;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Hillcrest;Local Street;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;Stop Sign;Clear;No;35.19999, -80.75713
53;54;Yes;50-59;52;No;With Traffic;A: Disabling Injury;Travel Lane;White;Male;Durham;Durham;No;NA;02/04/2007;Motorist Overtaking Bicyclist;20;Non-Intersection;01/04/2001;01/01/2001 20:24;Motorist Overtaking - Undetected Bicyclist;311231;2007;A: Disabling Injury;Commercial;20-24;20;No;41-45 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);4 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;On or Off Ramp;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;No Control Present;Clear;No;35.966644, -78.96749
56;57;Yes;16-19;18;No;NA;C: Possible Injury;Travel Lane;Black;Female;Durham;Durham;No;NA;02/04/2007;Bicyclist Failed to Yield - Sign-Controlled Intersection;19;Intersection;01/04/2001;01/01/2001 19:18;Bicyclist Ride Through - Sign-Controlled Intersection;119144;2007;C: Possible Injury;Residential;40-49;40;No;31-35 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.996304, -78.88007
60;61;No;40-49;40;No;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Hispanic;Male;Fayetteville;Cumberland;No;01/01/2003;31/01/2007;Crossing Paths - Other Circumstances;14;Intersection;NA;01/01/2001 14:44;Crossing Paths - Intersection - Other /;132180;2007;B: Evident Injury;Commercial;NA;NA;Missing;0-5 mph;Injury;/Missing;NA;NA;No;Yes;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Coastal;Urban;20 - 25  MPH;No Control Present;Clear;No;35.09925, -78.877464
63;64;Yes;10-juin;6;No;Facing Traffic;B: Evident Injury;Travel Lane;White;Male;Morganton;Burke;No;01/01/2003;07/02/2007;Bicyclist Failed to Yield - Sign-Controlled Intersection;16;Intersection;01/02/2001;01/01/2001 16:51;Bicyclist Ride Out - Sign-Controlled Intersection;112142;2007;B: Evident Injury;Residential;0-19;17;No;26-30 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);6 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Mountains;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.74463, -81.69225
66;67;Yes;10-juin;7;No;NA;B: Evident Injury;Non-Roadway;Black;Female;None - Rural Crash;Sampson;No;01/01/2005;09/02/2007;Non-Roadway;0;Non-Roadway;01/02/2001;0-12-31 23:59:58;Non-Roadway;460910;2007;B: Evident Injury;Farms, Woods, Pastures;50-59;51;No;0-5 mph;O: No Injury;Black;Male;Sport Utility;No;No;Daylight;Rural (<30% Developed);NA;2;Other;Private Road, Driveway;Dry;Two-Way, Not Divided;None;No Special Feature;Soil;Coastal;Rural;50 - 55  MPH;No Control Present;Clear;No;35.184418, -78.50205
